ID	LABEL	SubClass Of	ID	LABEL	SubClass Of
MOP:0000000	borylation	formation of covalent bond with boron centre, has_participant some 'boryl group'			
MOP:0000001	methanidylation	formation of covalent bond with carbon centre			
MOP:0000002	azaniumylation	formation of covalent bond with nitrogen centre			
MOP:0000003	formylation	univalent carboacylation	MOP:0000003	formylation	acylation, has_participant some 'formyl group'
MOP:0000004	acetonylation	formation of covalent bond with carbon centre			
MOP:0000005	L-cystylation	cystylation			
MOP:0000006	L-cystinylation	cystinylation			
MOP:0000007	D-cystylation	cystylation			
MOP:0000008	cystinylation	alpha-aminoacylation			
MOP:0000009	cystylation	divalent carboacylation			
MOP:0000010	cysteinylation	alpha-aminoacylation			
MOP:0000011	L-cysteinylation	cysteinylation			
MOP:0000012	D-cysteinylation	cysteinylation			
MOP:0000013	cystein-S-ylation	formation of covalent bond with sulfur centre			
MOP:0000014	D-cystein-S-ylation	cystein-S-ylation			
MOP:0000015	L-cystein-S-ylation	cystein-S-ylation			
MOP:0000016	methionylation	alpha-aminoacylation			
MOP:0000017	L-methionylation	methionylation			
MOP:0000018	N-formyl-L-methionylation	formation of covalent bond with carbon centre			
MOP:0000019	D-methionylation	methionylation			
MOP:0000020	(R)-lipoylation	lipoylation			
MOP:0000021	(S)-lipoylation	lipoylation			
MOP:0000022	lipoylation	univalent carboacylation			
MOP:0000023	(R)-dihydrolipoylation	dihydrolipoylation			
MOP:0000024	(S)-dihydrolipoylation	dihydrolipoylation			
MOP:0000025	alpha-sialoylation	univalent carboacylation			
MOP:0000026	beta-sialoylation	univalent carboacylation			
MOP:0000027	glyceroylation	formation of covalent bond with carbon centre			
MOP:0000028	carboacylation	acylation, formation of covalent bond with carbon centre, has_participant some 'carboacyl group'			
MOP:0000029	univalent carboacylation	organylation			
MOP:0000030	acetylation	univalent carboacylation			
MOP:0000031	alpha-aminoacylation	univalent carboacylation			
MOP:0000032	alanylation	alpha-aminoacylation			
MOP:0000033	L-alanylation	alanylation			
MOP:0000034	D-alanylation	alanylation			
MOP:0000035	alpha-aspartylation	alpha-aminoacylation			
MOP:0000036	L-alpha-aspartylation	alpha-aspartylation			
MOP:0000037	D-alpha-aspartylation	alpha-aspartylation			
MOP:0000038	alpha-glutamylation	alpha-aminoacylation			
MOP:0000039	L-alpha-glutamylation	alpha-glutamylation			
MOP:0000040	D-alpha-glutamylation	alpha-glutamylation			
MOP:0000041	pteroylglutamylation	alpha-aminoacylation			
MOP:0000042	phenylalanylation	alpha-aminoacylation			
MOP:0000043	L-phenylalanylation	phenylalanylation			
